"userid","Altersgruppe","condition","TLX_mental","TLX_physical","TLX_temporal","TLX_perf_raw","TLX_effort","TLX_frustration","TLX_total","PANAS_PA","PANAS_NA","UES_FA","UES_PU","UES_AE","UES_RW","UES_total","MFI_GF","Stress","avg_watchtime_nichtKI","avg_watchtime_KI","Alter"
"teilnehmer7_2","young adults",0,20,5,10,65,25,15,18.3333333333333,15,12,3.33333333333333,4,3.66666666666667,2,3.25,5,6,5.01191525423729,NA,18
"teilnehmer8_2","young adults",25,35,5,5,60,25,20,21.6666666666667,12,10,2.33333333333333,3,4.33333333333333,1.66666666666667,2.83333333333333,10,1,5.11513043478261,9.85841666666667,24
"teilnehmer7_2","young adults",75,20,5,30,70,10,25,20,15,11,3,4.66666666666667,2.66666666666667,1.33333333333333,2.91666666666667,5,5,2.348,3.03122222222222,18
"teilnehmer8_2","young adults",75,65,5,40,70,5,10,25.8333333333333,12,10,2,2.66666666666667,4.33333333333333,1.66666666666667,2.66666666666667,10,7,4.2257,4.14365217391304,24
"teilnehmer7_2","young adults",100,20,5,30,60,25,10,21.6666666666667,16,10,3,3.33333333333333,3.33333333333333,1,2.66666666666667,4,5,NA,2.6675,18
"teilnehmer8_2","young adults",50,60,5,35,60,45,35,36.6666666666667,13,11,2.33333333333333,4.33333333333333,4.33333333333333,1.66666666666667,3.16666666666667,10,11,4.43961111111111,9.4817027027027,24
"teilnehmer9_2","young adults",75,15,5,40,50,15,35,26.6666666666667,16,18,2,2.66666666666667,3.33333333333333,2,2.5,8,5,5.36690909090909,7.00227941176471,24
"teilnehmer9_2","young adults",100,25,5,15,35,45,70,37.5,14,23,2.33333333333333,2,3.33333333333333,2,2.41666666666667,9,9,NA,7.99644,24
"teilnehmer9_2","young adults",50,35,15,10,40,25,80,37.5,13,29,2,2,2.66666666666667,1.66666666666667,2.08333333333333,4,9,8.37575675675676,7.49928947368421,24
"teilnehmer9_2","young adults",0,40,10,15,45,30,70,36.6666666666667,19,17,2.33333333333333,2.33333333333333,3.66666666666667,2,2.58333333333333,7,5,7.31375609756098,NA,24
"teilnehmer9_2","young adults",25,35,10,35,55,45,75,40.8333333333333,17,23,2.33333333333333,2,2.66666666666667,2,2.25,4,12,6.04224705882353,3.07471428571429,24
"teilnehmer10_2","young adults",50,5,5,25,45,5,15,18.3333333333333,12,21,2.66666666666667,3.33333333333333,1.33333333333333,1.66666666666667,2.25,18,22,7.61262222222222,5.68255555555556,25
"teilnehmer10_2","young adults",25,20,5,20,50,30,35,26.6666666666667,13,22,2.33333333333333,3.33333333333333,2,1.33333333333333,2.25,19,27,9.17105263157895,18.1965384615385,25
"teilnehmer10_2","young adults",75,20,5,45,50,55,60,39.1666666666667,11,17,2.33333333333333,2.66666666666667,1.33333333333333,1.33333333333333,1.91666666666667,20,40,12.0256666666667,7.36915384615385,25
"teilnehmer10_2","young adults",0,5,5,20,35,50,75,36.6666666666667,10,18,2.33333333333333,3.66666666666667,1.33333333333333,1.33333333333333,2.16666666666667,20,51,7.73914285714286,NA,25
"teilnehmer10_2","young adults",100,10,5,30,45,55,65,36.6666666666667,12,14,2.33333333333333,3,2,1.33333333333333,2.16666666666667,20,55,NA,5.63814150943396,25
"teilnehmer11_2","young adults",0,5,15,30,35,5,35,25.8333333333333,16,12,3,5,2.66666666666667,3,3.41666666666667,11,3,7.98278666666667,NA,24
"teilnehmer11_2","young adults",25,20,15,25,45,5,30,25,16,12,3,4.33333333333333,2.66666666666667,3,3.25,12,9,6.12004109589041,5.99633333333333,24
"teilnehmer11_2","young adults",100,5,5,30,20,5,50,29.1666666666667,12,16,3,3.33333333333333,1.66666666666667,1.33333333333333,2.33333333333333,13,15,NA,3.86325161290323,24
"teilnehmer11_2","young adults",50,10,15,20,35,15,25,25,15,12,3.66666666666667,4.33333333333333,2.66666666666667,2.33333333333333,3.25,14,9,4.8819125,2.5429875,24
"teilnehmer11_2","young adults",75,5,5,25,35,20,25,24.1666666666667,14,12,3.66666666666667,4,2.33333333333333,1,2.75,12,9,3.80506666666667,2.23231111111111,24
"teilnehmer12_2","young adults",100,5,5,5,75,5,55,16.6666666666667,12,19,1.66666666666667,3,3,1,2.16666666666667,15,67,NA,3.69947826086957,21
"teilnehmer12_2","young adults",75,10,5,5,75,5,60,18.3333333333333,12,18,2.33333333333333,3.33333333333333,3.33333333333333,1.66666666666667,2.66666666666667,14,67,8.33304444444444,1.48264444444444,21
"teilnehmer12_2","young adults",0,5,5,25,80,5,25,14.1666666666667,12,14,2.33333333333333,3.66666666666667,3,1.66666666666667,2.66666666666667,13,73,5.51403703703704,NA,21
"teilnehmer12_2","young adults",50,5,5,25,30,20,70,32.5,14,22,3.33333333333333,3.66666666666667,3.33333333333333,1.33333333333333,2.91666666666667,13,79,4.77171111111111,1.42226666666667,21
"teilnehmer12_2","young adults",25,5,5,10,15,5,65,29.1666666666667,12,20,3.33333333333333,3,4,1.66666666666667,3,14,72,3.61415555555556,1.45591111111111,21
"teilnehmer13_2","young adults",50,15,25,50,100,15,75,30,18,21,2,2.33333333333333,3.33333333333333,2,2.41666666666667,8,12,3.19261111111111,2.55772222222222,19
"teilnehmer13_2","young adults",75,25,30,55,100,15,65,31.6666666666667,12,19,2.33333333333333,2.66666666666667,3.66666666666667,1.33333333333333,2.5,10,19,2.38322222222222,2.42536296296296,19
"teilnehmer13_2","young adults",25,20,20,25,95,15,70,25.8333333333333,12,20,1.66666666666667,2.66666666666667,3.33333333333333,1,2.16666666666667,12,35,2.88066666666667,1.85262222222222,19
"teilnehmer13_2","young adults",100,30,25,40,95,30,75,34.1666666666667,12,16,1.66666666666667,2.33333333333333,3.66666666666667,1.33333333333333,2.25,9,29,NA,2.17570555555556,19
"teilnehmer13_2","young adults",0,25,20,60,95,10,60,30,12,12,2,2.33333333333333,3.66666666666667,1.33333333333333,2.33333333333333,11,38,1.65400555555556,NA,19
"teilnehmer14_2","young adults",25,35,15,20,60,5,40,25.8333333333333,23,17,2.33333333333333,5,3.66666666666667,3.66666666666667,3.66666666666667,18,45,13.4518076923077,18.1402222222222,24
"teilnehmer14_2","young adults",0,45,15,45,45,30,50,40,22,22,2.33333333333333,3.66666666666667,3.33333333333333,3.33333333333333,3.16666666666667,16,50,5.93845918367347,NA,24
"teilnehmer14_2","young adults",50,25,15,30,55,30,50,32.5,13,23,1.33333333333333,2,1.66666666666667,1.66666666666667,1.66666666666667,19,53,4.57337254901961,7.14827450980392,24
"teilnehmer14_2","young adults",100,30,20,75,25,55,80,55.8333333333333,13,30,1,1.66666666666667,1,1,1.16666666666667,20,66,NA,4.31941489361702,24
"teilnehmer14_2","young adults",75,70,50,90,70,75,100,69.1666666666667,18,40,1,1.33333333333333,1.33333333333333,1,1.16666666666667,20,82,3.55751219512195,3.61134710743802,24
"teilnehmer15_2","young adults",100,10,15,25,30,5,65,31.6666666666667,15,18,2.66666666666667,3.33333333333333,3,1.33333333333333,2.58333333333333,12,21,NA,8.44604225352113,20
"teilnehmer15_2","young adults",0,35,20,15,35,20,15,28.3333333333333,27,11,2.66666666666667,4.33333333333333,4,3.66666666666667,3.66666666666667,11,26,12.7602765957447,NA,20
"teilnehmer15_2","young adults",75,20,15,5,50,20,60,28.3333333333333,17,16,1.33333333333333,2.66666666666667,3,1.66666666666667,2.16666666666667,15,17,8.46913043478261,5.8683768115942,20
"teilnehmer15_2","young adults",25,20,10,10,75,25,15,17.5,31,12,2.33333333333333,4.33333333333333,4,3.33333333333333,3.5,12,8,7.47244444444444,6.442,20
"teilnehmer15_2","young adults",50,15,10,20,45,15,40,25.8333333333333,13,16,2,2.66666666666667,2.66666666666667,1.66666666666667,2.25,14,29,5.93949056603774,5.47934615384615,20
