"userid","Altersgruppe","condition","TLX_mental","TLX_physical","TLX_temporal","TLX_perf_raw","TLX_effort","TLX_frustration","TLX_total","PANAS_PA","PANAS_NA","UES_FA","UES_PU","UES_AE","UES_RW","UES_total","MFI_GF","Stress","avg_watchtime_nichtKI","avg_watchtime_KI","Alter"
"teilnehmer9","elderly",25,65,70,60,25,80,25,62.5,23,11,2.66666666666667,2.66666666666667,3.66666666666667,2.66666666666667,2.91666666666667,8,23,5.83203333333333,12.3902,59
"teilnehmer10","elderly",100,70,70,80,75,70,70,64.1666666666667,17,13,4.33333333333333,2.66666666666667,4.33333333333333,4.33333333333333,3.91666666666667,9,24,NA,1.61459444444444,67
"teilnehmer11","elderly",0,15,15,45,20,15,90,43.3333333333333,14,29,1,2.33333333333333,2,1.33333333333333,1.66666666666667,6,81,17.1326,NA,62
"teilnehmer11","elderly",25,25,25,55,25,30,40,41.6666666666667,16,15,2.33333333333333,4,2.66666666666667,1.33333333333333,2.58333333333333,7,0,9.49217647058824,21.4801818181818,62
"teilnehmer12A","elderly",100,5,5,85,50,100,85,55,18,17,1,1,1,1,1,10,59,NA,7.66248717948718,60
"teilnehmer11","elderly",100,30,30,60,35,30,40,42.5,15,10,2,4,2.33333333333333,1.66666666666667,2.5,7,0,NA,19.3463225806452,62
"teilnehmer11","elderly",50,10,15,75,30,30,85,47.5,12,20,1,4,1.66666666666667,1,1.91666666666667,7,64,5.30076086956522,7.64771739130435,62
"teilnehmer11","elderly",75,25,25,80,35,35,95,54.1666666666667,12,21,2,3.33333333333333,1.66666666666667,1,2,7,82,2.46128888888889,2.32038518518519,62
"teilnehmer12A","elderly",75,5,5,90,10,55,95,56.6666666666667,17,16,1.66666666666667,1.33333333333333,2,1,1.5,9,59,4.5978,2.8272,60
"teilnehmer12A","elderly",0,5,5,100,100,15,100,37.5,17,17,1,1,2,1,1.25,9,52,3.50807272727273,NA,60
"teilnehmer12A","elderly",50,5,5,100,95,15,100,38.3333333333333,17,19,1,1.33333333333333,2,1,1.33333333333333,9,52,1.91964444444444,1.6211,60
