url,ai_label,views,likes,comments,shares,hashtags,publishedAt,creatorname,country,platform
https://www.tiktok.com/@muhammednur_8/video/7637214003944623368,2,95,10,0,26,"['#اكسبلورexplore', '#foryoupageofficiall', '#foryou', '#مشاهير_تيك_توك', '#trending']",2026-05-07 20:10:57,@muhammednur_8,DE,tiktok
https://www.tiktok.com/@niclas.tt.sync/video/7637095992457743648,2,304,4,0,9,"['#zitate', '#fouyou', '#wahrheit', '#fyp', '#viral']",2026-05-07 12:33:02,@niclas.tt.sync,DE,tiktok
https://www.tiktok.com/@nickilangstrumpf79/video/7637163039074077985,2,122,3,2,1,"['#sternzeichen', '#fyp', '#skorpion', '#wahrheit']",2026-05-07 16:53:11,@nickilangstrumpf79,DE,tiktok
https://www.tiktok.com/@onit_ai/video/7586353809899801878,2,429800,18800,113,4004,"['#ki', '#funnytiktok', '#memes', '#fyp', '#kivideo']",2025-12-21 17:47:26,@onit_ai,DE,tiktok
https://www.tiktok.com/@frecherfratz66/video/7619646971686522144,2,46800,333,8,565,"['#Ostern', '#Hase', '#lustig', '#fratzweisheiten', '#fürdich']",2026-03-21 11:01:57,@frecherfratz66,DE,tiktok
https://www.tiktok.com/@hubi26725/video/7624198728483622176,2,64000,190,6,1532,"['#Duett', '#oster', '#froheostern', '#fyp', '#feiertag']",2026-04-02 18:25:01,@hubi26725,DE,tiktok
https://www.tiktok.com/@www.tiktok.sinistermar/video/7635017643778379016,2,308200,16700,149,1315,"['#invincible', '#invincibleedit', '#mangaedit', '#fyppppppppppppppppppppppp', '#viral', '#edit']",2026-05-01 22:07:57,@www.tiktok.sinistermar,DE,tiktok
https://www.tiktok.com/@itz_keda07/video/7636446502990269718,2,322,24,2,0,"['#TomodachiLife', '#Fyp', '#gaming', '#nintendo', '#switch2']",2026-05-05 18:32:42,@itz_keda07,DE,tiktok
https://www.tiktok.com/@sunnylassie/video/7633311495975095585,2,255,27,12,0,"['#CapCut', '#glück', '#neuewoche', '#kaffee', '#wochenstart']",2026-04-27 07:47:20,@sunnylassie,DE,tiktok
https://www.tiktok.com/@ursula_anderberg/video/7632289968374713632,2,106500,1944,180,4133,"['#wal', '#Hope', '#fyp', '#ostsee', '#foryoupage']",2026-04-24 13:43:13,@ursula_anderberg,DE,tiktok
https://www.tiktok.com/@kreadul/video/7472783442934041878,2,18100000,1000000,8488,673600,"['#katze', '#cat', '#ai', '#ki']",2025-02-18 16:36:24,@kreadul,DE,tiktok
https://www.tiktok.com/@_deepqu0tes_/video/7596746082118405398,2,406200,5593,181,368,"['#mbappe', '#kilianmbappe', '#psg', '#ai', '#nostalgie']",2026-01-18 17:54:45,@_deepqu0tes_,DE,tiktok
https://www.tiktok.com/@vibetoonsai2026/video/7625693513291713825,2,400700,6302,544,6773,"['#ai', '#fyp', '#fruit', '#story', '#ki']",2026-04-06 19:05:34,@vibetoonsai2026,DE,tiktok
https://www.tiktok.com/@amy_suhira/video/7637077022321151264,2,234,5,1,0,"['#pomeranianlove', '#liebe', '#schmerz', '#trauer', '#pom']",2026-05-07 11:19:25,@amy_suhira,DE,tiktok
https://www.tiktok.com/@sofii.guru/video/7633033468208844065,2,170500,1949,22,1297,"['#allergies', '#frühling', '#dm', '#drogerie', '#allergie']",2026-04-26 13:48:21,@sofii.guru,DE,tiktok
https://www.tiktok.com/@goodgirlgobad/video/7634283088721218849,2,3261,44,3,1,"['#Hope', '#rettung', '#Wal', '#ostsee', '#Timi']",2026-04-29 22:37:30,@goodgirlgobad,DE,tiktok
https://www.tiktok.com/@boymomvibes80/video/7631535249830251808,2,2728,143,8,29,"['#kinder', '#mama', '#mutter', '#4u', '#liebe']",2026-04-22 12:54:30,@boymomvibes80,DE,tiktok
https://www.tiktok.com/@itsdannybtw3/video/7636066557499641121,2,2568,63,55,104,"['#goviral', '#fürdich', '#viral', '#escooter', '#fyp']",2026-05-04 17:58:18,@itsdannybtw3,DE,tiktok
https://www.tiktok.com/@mel829512/video/7637223514331696417,2,218,14,4,0,"['#ostsee', '#niemalsaufgeben', '#glaubandich', '#liebemeinleben']",2026-05-07 20:47:50,@mel829512,DE,tiktok
https://www.tiktok.com/@arai_flowers_msk/video/7625924320056904978,2,32300,1516,3,255,"['#тикток', '#reels', '#весна', '#сирень', '#апрельскаясирень']",2026-04-07 10:01:13,@arai_flowers_msk,DE,tiktok
https://www.tiktok.com/@tina_gesundundlecker/video/7637169572918906144,2,335,28,0,1,"['#tasttest', '#morenutrition', '#zuckerfrei', '#community', '#realtalk']",2026-05-07 17:18:33,@tina_gesundundlecker,DE,tiktok
https://www.tiktok.com/@_deepqu0tes_/video/7615761528507075862,2,37100,275,11,183,"['#aistroy', '#früchte', '#ai', '#romance', '#fyp']",2026-03-10 23:44:28,@_deepqu0tes_,DE,tiktok
https://www.tiktok.com/@cem_0768/video/7637219786665069856,2,500,55,1,2,"['#viral', '#fyp', '#foryoupage', '#twitchde', '#clipsdetwitch']",2026-05-07 20:33:23,@cem_0768,DE,tiktok
https://www.tiktok.com/@funnylife672/video/7611405133838028062,2,7300000,30800,2301,23200,"['#LIVEFEST2026', '#MakeLIVECount', '#PaidPartnership']",2026-02-27 05:59:36,@funnylife672,DE,tiktok
https://www.tiktok.com/@aicrime4/video/7619829519867743521,2,28800,171,7,102,"['#früchte', '#viral', '#reallifestories', '#kivideos', '#forupage']",2026-03-25 18:20:00,@aicrime4,DE,tiktok
https://www.tiktok.com/@chmoheez1/video/7636754380338892046,2,78,3,0,0,"['#ArknightsEndfield', '#Endfield', '#AtTheWakeOfSpring']",2026-05-06 14:28:12,@chmoheez1,DE,tiktok
https://www.tiktok.com/@cem_0768/video/7637166113729695009,2,943,53,1,1,"['#viral', '#fyp', '#mertabi', '#clipsdetwitch', '#twitchde']",2026-05-07 17:05:07,@cem_0768,DE,tiktok
https://www.tiktok.com/@er_zieher/video/7627989680260140320,2,82,6,1,0,"['#trauer', '#dufehlst', '#erinnerungen', '#herzmensch', '#schmerz']",2026-04-12 23:35:54,@er_zieher,DE,tiktok
https://www.tiktok.com/@echtnichtperfekt/video/7612383998454533399,2,1021,30,4,0,"['#echtnichtperfekt', '#ki', '#vorlage']",2026-03-01 21:17:50,@echtnichtperfekt,DE,tiktok
https://www.tiktok.com/@ricswilley/video/7637211276875205919,2,62,5,0,2,"['#iceman', '#relateable', '#drake', '#fyp', '#release']",2026-05-07 20:00:28,@ricswilley,DE,tiktok
https://www.tiktok.com/@coccia.77/video/7631639813669571862,2,18600,746,10,194,"['#ai', '#bayern', '#bayernmunich', '#bundesliga']",2026-04-22 19:40:14,@coccia.77,DE,tiktok
https://www.tiktok.com/@thorsten467/video/7637162903681912097,2,168,5,0,0,"['#2026', '#правда', '#привет', '#vertrauen', '#wahrheit']",2026-05-07 16:52:39,@thorsten467,DE,tiktok
https://www.tiktok.com/@calmcozy44/video/7474880256852135210,2,1400000,18600,620,19700,"['#ai', '#aigenerated', '#relaxing', '#stressfree', '#beach', '#waves', '#ocean']",2025-02-24 08:14:26,@calmcozy44,DE,tiktok
https://www.tiktok.com/@vanmiica/video/7606311079844646166,2,18400,1469,84,237,"['#gedanken', '#mamaleben', '#lebenmitkindern', '#mamasein', '#mamaalltag']",2026-02-13 12:31:53,@vanmiica,DE,tiktok
https://www.tiktok.com/@plushbykatrin/video/7624278183055019297,2,24500,399,10,386,"['#ostern', '#frühling', '#lustig', '#meme', '#fürdich']",2026-04-02 23:33:22,@plushbykatrin,DE,tiktok
https://www.tiktok.com/@diego_llw/video/7614804853054885142,2,96900,9277,34,3129,"['#lustig', '#zarbex', '#lehrer', '#schnee', '#schule']",2026-03-08 09:52:01,@diego_llw,DE,tiktok
https://www.tiktok.com/@random_brakhi0/video/7636276244157418785,2,3870,47,27,23,"['#trend', '#Früchte', '#meinrücken', '#viral', '#Fypp']",2026-05-05 07:32:08,@random_brakhi0,DE,tiktok
https://www.tiktok.com/@quicumratione/video/7636831792959442209,2,24,2,0,0,"['#Duett', '#früchte']",2026-05-06 19:27:48,@quicumratione,DE,tiktok
https://www.tiktok.com/@kamran.funny.i/video/7611186546342956318,2,1500000,9012,95,529,"['#LIVEIncentiveProgram', '#LIVEFEST2026', '#MakeLIVECount', '#PaidPartnership']",2026-02-26 15:51:18,@kamran.funny.i,DE,tiktok
https://www.tiktok.com/@sir.georgy/video/7633794813913009441,2,114900,6539,408,5249,"['#wal', '#ostsee', '#timmy', '#hope', '#gutereise']",2026-04-28 15:02:47,@sir.georgy,DE,tiktok
https://www.tiktok.com/@nichtmenschlich1/video/7596569176538500384,2,29200,136,8,19,"['#ki', '#lustig', '#humor', '#kinder', '#fyp']",2026-01-18 06:30:42,@nichtmenschlich1,DE,tiktok
https://www.tiktok.com/@kurdfruit/video/7620197033311243542,2,837,49,4,14,"['#ki', '#fruits', '#früchte', '#liebe']",2026-03-22 22:36:26,@kurdfruit,DE,tiktok
https://www.tiktok.com/@butze1979/video/7619806232991321366,2,16100,290,18,272,"['#HSV', '#BVB', '#Fussball', '#Bundesliga', '#Matchday']",2026-03-21 21:19:56,@butze1979,DE,tiktok
https://www.tiktok.com/@honneyzz70/video/7628609107880316162,2,862100,58100,223,1777,"['#justinbieber', '#selenagomez', '#coachella', '#celebrity', '#foryou']",2026-04-14 15:39:36,@honneyzz70,DE,tiktok
https://www.tiktok.com/@schtipe/video/7633749007533083936,2,3165,206,3,35,"['#trend', '#deutsch', '#wm', '#fussball', '#aufstellung']",2026-04-28 12:05:04,@schtipe,DE,tiktok
https://www.tiktok.com/@memorye52/video/7631095085182078222,2,20000000,661400,10200,31100,"['#funs', '#famiytime', '#toy', '#tiktok', '#tiktokmademebuyit']",2026-04-21 08:51:57,@memorye52,DE,tiktok
https://www.tiktok.com/@kamran.funny.i/video/7610957778001218846,2,505800,3416,15,129,"['#LIVEIncentiveProgram', '#LIVEFEST2026', '#MakeLIVECount', '#PaidPartnership']",2026-02-26 01:03:42,@kamran.funny.i,DE,tiktok
https://www.tiktok.com/@glowingcrystal12/video/7636626992053472525,2,22000,98,4,1,"['#LIVEIncentiveProgram', '#LIVEIsEasy', '#PaidPartnership']",2026-05-06 06:13:36,@glowingcrystal12,DE,tiktok
https://www.tiktok.com/@lia_pbg/video/7636022336340167968,2,8691,387,20,55,"['#ki', '#früchte', '#fyp']",2026-05-04 15:06:43,@lia_pbg,DE,tiktok
https://www.tiktok.com/@omar_koraichi/video/7597146610761501970,2,2100000,17600,1065,30400,"['#LIVEIncentiveProgram', '#LIVEMonetization', '#PaidPartnership']",2026-01-19 19:49:02,@omar_koraichi,DE,tiktok
https://www.tiktok.com/@sonico_om/video/7617124085067205908,2,6795,130,4,295,"['#meme', '#xd', '#inteligenciaartificial', '#67']",2026-03-14 15:51:55,@sonico_om,tiktok,extra
https://www.tiktok.com/@sonicskiller/video/7594511882602614039,2,206800,15200,1187,2758,"['#simson', '#eroller', '#unterhaltung', '#moped', '#lustig']",2026-01-12 19:43:48,@sonicskiller,tiktok,extra
